STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
KCK,H,20,FLOW,20181009 0500,20181009 0500,3, ,CFS
KCK,H,20,FLOW,20181009 0600,20181009 0600,3, ,CFS
KCK,H,20,FLOW,20181009 0700,20181009 0700,3, ,CFS
KCK,H,20,FLOW,20181009 0800,20181009 0800,3, ,CFS
KCK,H,20,FLOW,20181009 0900,20181009 0900,3, ,CFS
KCK,H,20,FLOW,20181009 1000,20181009 1000,3, ,CFS
KCK,H,20,FLOW,20181009 1100,20181009 1100,3, ,CFS
KCK,H,20,FLOW,20181009 1200,20181009 1200,3, ,CFS
KCK,H,20,FLOW,20181009 1300,20181009 1300,3, ,CFS
KCK,H,20,FLOW,20181009 1400,20181009 1400,3, ,CFS
KCK,H,20,FLOW,20181009 1500,20181009 1500,3, ,CFS
KCK,H,20,FLOW,20181009 1600,20181009 1600,3, ,CFS
KCK,H,20,FLOW,20181009 1700,20181009 1700,3, ,CFS
KCK,H,20,FLOW,20181009 1800,20181009 1800,3, ,CFS
KCK,H,20,FLOW,20181009 1900,20181009 1900,3, ,CFS
KCK,H,20,FLOW,20181009 2000,20181009 2000,3, ,CFS
KCK,H,20,FLOW,20181009 2100,20181009 2100,3, ,CFS
KCK,H,20,FLOW,20181009 2200,20181009 2200,3, ,CFS
KCK,H,20,FLOW,20181009 2300,20181009 2300,3, ,CFS
KCK,H,20,FLOW,20181010 0000,20181010 0000,3, ,CFS
KCK,H,20,FLOW,20181010 0100,20181010 0100,3, ,CFS
KCK,H,20,FLOW,20181010 0200,20181010 0200,3, ,CFS
KCK,H,20,FLOW,20181010 0300,20181010 0300,3, ,CFS
KCK,H,20,FLOW,20181010 0400,20181010 0400,3, ,CFS
KCK,H,20,FLOW,20181010 0500,20181010 0500,3, ,CFS
KCK,H,20,FLOW,20181010 0600,20181010 0600,3, ,CFS
KCK,H,20,FLOW,20181010 0700,20181010 0700,3, ,CFS
KCK,H,20,FLOW,20181010 0800,20181010 0800,3, ,CFS
KCK,H,20,FLOW,20181010 0900,20181010 0900,3, ,CFS
KCK,H,20,FLOW,20181010 1000,20181010 1000,3, ,CFS
KCK,H,20,FLOW,20181010 1100,20181010 1100,3, ,CFS
KCK,H,20,FLOW,20181010 1200,20181010 1200,3, ,CFS
KCK,H,20,FLOW,20181010 1300,20181010 1300,3, ,CFS
KCK,H,20,FLOW,20181010 1400,20181010 1400,3, ,CFS
KCK,H,20,FLOW,20181010 1500,20181010 1500,3, ,CFS
KCK,H,20,FLOW,20181010 1600,20181010 1600,3, ,CFS
KCK,H,20,FLOW,20181010 1700,20181010 1700,3, ,CFS
KCK,H,20,FLOW,20181010 1800,20181010 1800,3, ,CFS
KCK,H,20,FLOW,20181010 1900,20181010 1900,3, ,CFS
KCK,H,20,FLOW,20181010 2000,20181010 2000,3, ,CFS
KCK,H,20,FLOW,20181010 2100,20181010 2100,3, ,CFS
KCK,H,20,FLOW,20181010 2200,20181010 2200,3, ,CFS
KCK,H,20,FLOW,20181010 2300,20181010 2300,3, ,CFS
KCK,H,20,FLOW,20181011 0000,20181011 0000,3, ,CFS
KCK,H,20,FLOW,20181011 0100,20181011 0100,3, ,CFS
KCK,H,20,FLOW,20181011 0200,20181011 0200,3, ,CFS
KCK,H,20,FLOW,20181011 0300,20181011 0300,3, ,CFS
KCK,H,20,FLOW,20181011 0400,20181011 0400,3, ,CFS
KCK,H,20,FLOW,20181011 0500,20181011 0500,3, ,CFS
KCK,H,20,FLOW,20181011 0600,20181011 0600,3, ,CFS
KCK,H,20,FLOW,20181011 0700,20181011 0700,3, ,CFS
KCK,H,20,FLOW,20181011 0800,20181011 0800,3, ,CFS
KCK,H,20,FLOW,20181011 0900,20181011 0900,3, ,CFS
KCK,H,20,FLOW,20181011 1000,20181011 1000,3, ,CFS
KCK,H,20,FLOW,20181011 1100,20181011 1100,3, ,CFS
KCK,H,20,FLOW,20181011 1200,20181011 1200,3, ,CFS
KCK,H,20,FLOW,20181011 1300,20181011 1300,3, ,CFS
KCK,H,20,FLOW,20181011 1400,20181011 1400,3, ,CFS
KCK,H,20,FLOW,20181011 1500,20181011 1500,3, ,CFS
KCK,H,20,FLOW,20181011 1600,20181011 1600,3, ,CFS
KCK,H,20,FLOW,20181011 1700,20181011 1700,3, ,CFS
KCK,H,20,FLOW,20181011 1800,20181011 1800,3, ,CFS
KCK,H,20,FLOW,20181011 1900,20181011 1900,3, ,CFS
KCK,H,20,FLOW,20181011 2000,20181011 2000,3, ,CFS
KCK,H,20,FLOW,20181011 2100,20181011 2100,3, ,CFS
KCK,H,20,FLOW,20181011 2200,20181011 2200,3, ,CFS
KCK,H,20,FLOW,20181011 2300,20181011 2300,3, ,CFS
KCK,H,20,FLOW,20181012 0000,20181012 0000,3, ,CFS
KCK,H,20,FLOW,20181012 0100,20181012 0100,3, ,CFS
KCK,H,20,FLOW,20181012 0200,20181012 0200,3, ,CFS
KCK,H,20,FLOW,20181012 0300,20181012 0300,3, ,CFS
KCK,H,20,FLOW,20181012 0400,20181012 0400,3, ,CFS
KCK,H,20,FLOW,20181012 0500,20181012 0500,3, ,CFS
KCK,H,20,FLOW,20181012 0600,20181012 0600,3, ,CFS
KCK,H,20,FLOW,20181012 0700,20181012 0700,3, ,CFS
KCK,H,20,FLOW,20181012 0800,20181012 0800,3, ,CFS
KCK,H,20,FLOW,20181012 0900,20181012 0900,3, ,CFS
KCK,H,20,FLOW,20181012 1000,20181012 1000,3, ,CFS
KCK,H,20,FLOW,20181012 1100,20181012 1100,3, ,CFS
KCK,H,20,FLOW,20181012 1200,20181012 1200,3, ,CFS
KCK,H,20,FLOW,20181012 1300,20181012 1300,3, ,CFS
KCK,H,20,FLOW,20181012 1400,20181012 1400,3, ,CFS
KCK,H,20,FLOW,20181012 1500,20181012 1500,3, ,CFS
KCK,H,20,FLOW,20181012 1600,20181012 1600,3, ,CFS
KCK,H,20,FLOW,20181012 1700,20181012 1700,3, ,CFS
KCK,H,20,FLOW,20181012 1800,20181012 1800,3, ,CFS
KCK,H,20,FLOW,20181012 1900,20181012 1900,3, ,CFS
KCK,H,20,FLOW,20181012 2000,20181012 2000,3, ,CFS
KCK,H,20,FLOW,20181012 2100,20181012 2100,3, ,CFS
KCK,H,20,FLOW,20181012 2200,20181012 2200,3, ,CFS
KCK,H,20,FLOW,20181012 2300,20181012 2300,3, ,CFS
KCK,H,20,FLOW,20181013 0000,20181013 0000,3, ,CFS
KCK,H,20,FLOW,20181013 0100,20181013 0100,3, ,CFS
KCK,H,20,FLOW,20181013 0200,20181013 0200,3, ,CFS
KCK,H,20,FLOW,20181013 0300,20181013 0300,3, ,CFS
KCK,H,20,FLOW,20181013 0400,20181013 0400,3, ,CFS
KCK,H,20,FLOW,20181013 0500,20181013 0500,3, ,CFS
KCK,H,20,FLOW,20181013 0600,20181013 0600,3, ,CFS
KCK,H,20,FLOW,20181013 0700,20181013 0700,3, ,CFS
KCK,H,20,FLOW,20181013 0800,20181013 0800,3, ,CFS
KCK,H,20,FLOW,20181013 0900,20181013 0900,3, ,CFS
KCK,H,20,FLOW,20181013 1000,20181013 1000,3, ,CFS
KCK,H,20,FLOW,20181013 1100,20181013 1100,3, ,CFS
KCK,H,20,FLOW,20181013 1200,20181013 1200,3, ,CFS
KCK,H,20,FLOW,20181013 1300,20181013 1300,3, ,CFS
KCK,H,20,FLOW,20181013 1400,20181013 1400,3, ,CFS
KCK,H,20,FLOW,20181013 1500,20181013 1500,3, ,CFS
KCK,H,20,FLOW,20181013 1600,20181013 1600,3, ,CFS
KCK,H,20,FLOW,20181013 1700,20181013 1700,3, ,CFS
KCK,H,20,FLOW,20181013 1800,20181013 1800,3, ,CFS
KCK,H,20,FLOW,20181013 1900,20181013 1900,3, ,CFS
KCK,H,20,FLOW,20181013 2000,20181013 2000,3, ,CFS
KCK,H,20,FLOW,20181013 2100,20181013 2100,3, ,CFS
KCK,H,20,FLOW,20181013 2200,20181013 2200,3, ,CFS
KCK,H,20,FLOW,20181013 2300,20181013 2300,3, ,CFS
KCK,H,20,FLOW,20181014 0000,20181014 0000,3, ,CFS
KCK,H,20,FLOW,20181014 0100,20181014 0100,3, ,CFS
KCK,H,20,FLOW,20181014 0200,20181014 0200,3, ,CFS
KCK,H,20,FLOW,20181014 0300,20181014 0300,3, ,CFS
KCK,H,20,FLOW,20181014 0400,20181014 0400,3, ,CFS
KCK,H,20,FLOW,20181014 0500,20181014 0500,3, ,CFS
KCK,H,20,FLOW,20181014 0600,20181014 0600,3, ,CFS
KCK,H,20,FLOW,20181014 0700,20181014 0700,3, ,CFS
KCK,H,20,FLOW,20181014 0800,20181014 0800,3, ,CFS
KCK,H,20,FLOW,20181014 0900,20181014 0900,3, ,CFS
KCK,H,20,FLOW,20181014 1000,20181014 1000,3, ,CFS
KCK,H,20,FLOW,20181014 1100,20181014 1100,3, ,CFS
KCK,H,20,FLOW,20181014 1200,20181014 1200,3, ,CFS
KCK,H,20,FLOW,20181014 1300,20181014 1300,3, ,CFS
KCK,H,20,FLOW,20181014 1400,20181014 1400,3, ,CFS
KCK,H,20,FLOW,20181014 1500,20181014 1500,3, ,CFS
KCK,H,20,FLOW,20181014 1600,20181014 1600,3, ,CFS
KCK,H,20,FLOW,20181014 1700,20181014 1700,3, ,CFS
KCK,H,20,FLOW,20181014 1800,20181014 1800,3, ,CFS
KCK,H,20,FLOW,20181014 1900,20181014 1900,3, ,CFS
KCK,H,20,FLOW,20181014 2000,20181014 2000,3, ,CFS
KCK,H,20,FLOW,20181014 2100,20181014 2100,3, ,CFS
KCK,H,20,FLOW,20181014 2200,20181014 2200,3, ,CFS
KCK,H,20,FLOW,20181014 2300,20181014 2300,3, ,CFS
KCK,H,20,FLOW,20181015 0000,20181015 0000,3, ,CFS
KCK,H,20,FLOW,20181015 0100,20181015 0100,3, ,CFS
KCK,H,20,FLOW,20181015 0200,20181015 0200,3, ,CFS
KCK,H,20,FLOW,20181015 0300,20181015 0300,3, ,CFS
KCK,H,20,FLOW,20181015 0400,20181015 0400,3, ,CFS
KCK,H,20,FLOW,20181015 0500,20181015 0500,3, ,CFS
KCK,H,20,FLOW,20181015 0600,20181015 0600,3, ,CFS
KCK,H,20,FLOW,20181015 0700,20181015 0700,3, ,CFS
KCK,H,20,FLOW,20181015 0800,20181015 0800,3, ,CFS
KCK,H,20,FLOW,20181015 0900,20181015 0900,3, ,CFS
KCK,H,20,FLOW,20181015 1000,20181015 1000,3, ,CFS
KCK,H,20,FLOW,20181015 1100,20181015 1100,3, ,CFS
KCK,H,20,FLOW,20181015 1200,20181015 1200,3, ,CFS
KCK,H,20,FLOW,20181015 1300,20181015 1300,3, ,CFS
KCK,H,20,FLOW,20181015 1400,20181015 1400,3, ,CFS
KCK,H,20,FLOW,20181015 1500,20181015 1500,3, ,CFS
KCK,H,20,FLOW,20181015 1600,20181015 1600,3, ,CFS
KCK,H,20,FLOW,20181015 1700,20181015 1700,3, ,CFS
KCK,H,20,FLOW,20181015 1800,20181015 1800,3, ,CFS
KCK,H,20,FLOW,20181015 1900,20181015 1900,3, ,CFS
KCK,H,20,FLOW,20181015 2000,20181015 2000,3, ,CFS
KCK,H,20,FLOW,20181015 2100,20181015 2100,3, ,CFS
KCK,H,20,FLOW,20181015 2200,20181015 2200,3, ,CFS
KCK,H,20,FLOW,20181015 2300,20181015 2300,3, ,CFS
KCK,H,20,FLOW,20181016 0000,20181016 0000,3, ,CFS
KCK,H,20,FLOW,20181016 0100,20181016 0100,3, ,CFS
KCK,H,20,FLOW,20181016 0200,20181016 0200,3, ,CFS
KCK,H,20,FLOW,20181016 0300,20181016 0300,3, ,CFS
KCK,H,20,FLOW,20181016 0400,20181016 0400,3, ,CFS
KCK,H,20,FLOW,20181016 0500,20181016 0500,3, ,CFS
