STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
KCK,H,1,RIV STG,20181009 0900,20181009 0900,27.48, ,FEET
KCK,H,1,RIV STG,20181009 1000,20181009 1000,27.48, ,FEET
KCK,H,1,RIV STG,20181009 1100,20181009 1100,27.48, ,FEET
KCK,H,1,RIV STG,20181009 1200,20181009 1200,27.48, ,FEET
KCK,H,1,RIV STG,20181009 1300,20181009 1300,27.48, ,FEET
KCK,H,1,RIV STG,20181009 1400,20181009 1400,27.48, ,FEET
KCK,H,1,RIV STG,20181009 1500,20181009 1500,27.48, ,FEET
KCK,H,1,RIV STG,20181009 1600,20181009 1600,27.48, ,FEET
KCK,H,1,RIV STG,20181009 1700,20181009 1700,27.48, ,FEET
KCK,H,1,RIV STG,20181009 1800,20181009 1800,27.48, ,FEET
KCK,H,1,RIV STG,20181009 1900,20181009 1900,27.48, ,FEET
KCK,H,1,RIV STG,20181009 2000,20181009 2000,27.48, ,FEET
KCK,H,1,RIV STG,20181009 2100,20181009 2100,27.48, ,FEET
KCK,H,1,RIV STG,20181009 2200,20181009 2200,27.48, ,FEET
KCK,H,1,RIV STG,20181009 2300,20181009 2300,27.48, ,FEET
KCK,H,1,RIV STG,20181010 0000,20181010 0000,27.48, ,FEET
KCK,H,1,RIV STG,20181010 0100,20181010 0100,27.48, ,FEET
KCK,H,1,RIV STG,20181010 0200,20181010 0200,27.48, ,FEET
KCK,H,1,RIV STG,20181010 0300,20181010 0300,27.48, ,FEET
KCK,H,1,RIV STG,20181010 0400,20181010 0400,27.48, ,FEET
KCK,H,1,RIV STG,20181010 0500,20181010 0500,27.48, ,FEET
KCK,H,1,RIV STG,20181010 0600,20181010 0600,27.48, ,FEET
KCK,H,1,RIV STG,20181010 0700,20181010 0700,27.48, ,FEET
KCK,H,1,RIV STG,20181010 0800,20181010 0800,27.48, ,FEET
KCK,H,1,RIV STG,20181010 0900,20181010 0900,27.48, ,FEET
KCK,H,1,RIV STG,20181010 1000,20181010 1000,27.48, ,FEET
KCK,H,1,RIV STG,20181010 1100,20181010 1100,27.48, ,FEET
KCK,H,1,RIV STG,20181010 1200,20181010 1200,27.48, ,FEET
KCK,H,1,RIV STG,20181010 1300,20181010 1300,27.48, ,FEET
KCK,H,1,RIV STG,20181010 1400,20181010 1400,27.48, ,FEET
